	ИМЯ	ПОЛ	КАТЕГОРИЯ	ГОДЫ ЖИЗНИ	ЗНАКОМСТВО	Года в ПРОЗА	Года в СТИХ	Года в ПОЭМА	Года в ДРАМА	Года в СТИХ+ПРОЗА
227	Сулейменов Олжас Омарович	М	Поэт	1936-н.в.	1	1998	1970			
228	Суриков Василий Иванович	М	Художник	1848-1916	0	1984	1977			
229	Сытин Иван Дмитриевич	М	Издатель	1851-1934	0	1984		1999		
230	Табидзе Тициан Юстинович	М	Поэт	1895-1937	0	1992	1987			
231	Таривердиев Микаэл Леонович	М	Композитор	1931-1996	1	1984, 1990, 1998	1963, 1988	1996		
232	Тарковский Андрей Арсеньевич	М	Режиссер	1932-1986	1	1981, 1990, 1994, 1998	1961, 1975, 1977, 1979, 1990	1979		
233	Твардовский Александр Трифонович	М	Поэт	1910-1971	1	1990, 1999, 2000, 2001	1962			
234	Темирканов Юрий Хатуевич	М	Дирижер	1938-2023	0	1990, 1994, 2006	2002	2005		
235	Ткаченко Александр Михайлович	М	Поэт	1955-н.в.	1	1978, 1990, 1998, 2000	2008	2009		
236	Толстой Лев Николаевич	М	Писатель	1828-1910	0	1981, 1984, 1987, 1992, 1994, 1998, 2000	1977, 1989, 2009	1986, 1996, 1999		
237	Третьяков Павел Михайлович	М	Меценат	1832-1898	0	1984, 1998	1974, 1984			
238	Троцкий Лев Давидович	М	Революционер	1879-1940	0	1984, 1992, 1994, 1998	2003		2000	
239	Тулуз-Лотрек Анри	М	Художник	1864-1901	0	1966, 1970		1977		
240	Тургенев Иван Сергеевич	М	Писатель	1818-1883	0	1984, 1998	1972, 1987			
241	Тухачевский Михаил Николаевич	М	Военный деятель	1893-1937	0	1990	1977			1965
242	Уанджюк Марика	М	Поэт	Неизвестно	1	1992, 1998	1975			
243	Уваров Алексей Сергеевич	М	Археолог	1825-1884	0	1984		1979		
244	Уварова Прасковья Сергеевна	Ж	Археолог	1840-1924	0	1984		1979		
245	Фет Афанасий Афанасьевич	М	Поэт	1820-1892	0	1973, 1975, 1981, 1984, 1994, 1998, 2010	1970, 1973, 1975			
246	Филатов Леонид Алексеевич	М	Актер	1946-2003	1	1990	1986			
247	Филонов Павел Николаевич	М	Художник	1883-1941	0	1973, 1984, 1990, 2000	1967, 1981			
248	Флоренский Павел Александрович	М	Философ	1882-1937	0	1975, 1990, 1992, 1994, 1998, 2003		1964, 1998		
249	Фрейд Зигмунд	М	Психоаналитик	1856-1939	0	1990	1979, 1982, 1994	1996		
250	Фурцева Екатерина Алексеевна	Ж	Политический деятель	1910-1974	1	1990	2001		2003	
251	Хемингуэй Эрнест Миллер	М	Писатель	1899-1961	0	1984	1965			
252	Херасков Михаил Матвеевич	М	Поэт	1733-1807	0	2004		2004		
253	Хлебников Борис Николаевич	М	Историк	Неизвестно	1	1984		1979		
254	Хлебников Велемир Викторович	М	Поэт	1885-1922	0	1970, 1973, 1975, 1976, 1981, 1984, 1990, 1992, 1994, 1998, 1999, 2000, 2003, 2006, 2009	1978, 1981, 1982, 1984	1964, 1998		
255	Ходасевич Владислав Фелицианович	М	Поэт	1886-1939	0	1984, 1992, 1998, 2003	1980			
256	Холодов Дмитрий Юрьевич	М	Журналист	1967-1994	1	1990, 2000	1994			
